,All Causes,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Hepatitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Parasitic and vector diseases,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Other infectious diseases,Respiratory Infectious ,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Neonatal conditions,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Nasopharynx,Other pharynx,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Liver cancer secondary to hepatitis B,Liver cancer secondary to hepatitis C,Liver cancer secondary to alcohol use,Other liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Mesothelioma,"Lymphomas, multiple myeloma",Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Thalassaemias,Sickle cell disorders and trait,Other haemoglobinopathies and haemolytic anaemias,"Other endocrine, blood and immune disorders",Mental and substance use disorders,Depressive disorders,Major depressive disorder,Dysthymia,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Opioid use disorders,Cocaine use disorders,Amphetamine use disorders,Cannabis use disorders,Other drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Conduct disorder,Idiopathic intellectual disability,Other mental and behavioural disorders,Neurological conditions,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,Ischaemic stroke,Haemorrhagic stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Other respiratory diseases,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Cirrhosis due to hepatitis C,Cirrhosis due to alcohol use,Other liver cirrhosis,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Other digestive diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Chronic kidney disease due to diabetes,Other chronic kidney disease,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Congenital anomalies,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Injuries,Unintentional injuries,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Intentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
FRA,558.9,36.0,9.0,0.6,0.0,0.0,0.0,0.0,.,.,0.0,0.5,2.7,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.1,0.0,.,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,0.0,.,.,.,.,.,.,4.6,21.2,21.1,0.0,0.0,0.1,1.4,0.6,0.3,0.1,0.4,4.4,3.4,0.0,.,0.9,0.1,487.1,172.0,4.6,2.1,0.1,2.4,4.5,5.6,20.8,9.0,1.9,3.3,3.3,0.5,10.9,33.6,3.0,2.1,0.9,14.1,1.4,2.6,3.9,10.4,0.1,4.4,6.1,4.2,1.4,1.3,0.5,1.2,9.3,0.3,5.4,3.5,7.0,12.0,7.5,12.5,7.2,0.0,0.2,1.5,5.5,5.7,.,.,.,.,0.6,3.4,1.7,1.2,0.1,0.1,.,0.3,.,0.1,.,.,.,.,.,.,64.1,49.2,6.4,1.8,0.7,.,.,5.9,.,144.3,1.7,5.1,62.9,34.2,17.6,16.7,5.6,34.8,31.3,19.6,1.3,10.4,25.1,0.9,8.1,1.8,2.4,3.6,0.3,0.1,0.0,3.3,0.2,1.8,1.0,9.6,10.3,8.1,0.0,2.6,5.5,.,0.1,2.1,.,0.0,1.3,3.7,0.4,.,.,.,3.3,1.9,0.0,0.0,0.3,0.7,0.1,0.8,.,0.2,35.7,24.2,3.3,0.5,6.4,0.4,0.9,0.3,.,12.4,11.5,10.9,0.6,0.0
GAB,14.0,6.4,3.8,1.0,0.0,0.0,0.0,0.0,.,.,0.0,1.4,0.4,0.2,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.1,.,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,1.3,1.3,0.0,0.0,0.1,1.0,0.5,0.3,0.2,0.1,0.2,0.1,0.0,.,0.1,0.0,6.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.0,0.1,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.3,0.3,0.0,0.1,0.0,.,.,0.0,.,2.9,0.0,0.3,1.1,1.1,0.5,0.7,0.1,0.3,0.4,0.3,0.1,0.0,0.5,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.1,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,1.2,0.9,0.4,0.0,0.1,0.1,0.1,0.1,.,0.2,0.3,0.2,0.2,.
GMB,16.3,9.0,3.9,0.4,0.1,0.1,0.0,0.0,.,.,0.0,1.0,0.8,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.6,.,.,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,1.9,1.9,0.0,0.0,0.5,2.2,0.8,0.8,0.5,0.1,0.5,0.4,0.0,.,0.0,0.0,5.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.2,0.0,0.0,0.1,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.2,0.1,0.0,0.1,0.0,.,.,0.0,.,2.2,0.0,0.1,0.9,0.9,0.4,0.5,0.1,0.2,0.4,0.2,0.1,0.1,0.7,0.1,0.4,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.2,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.5,0.1,0.0,0.0,0.2,0.0,0.2,.,0.0,1.9,1.5,0.6,0.1,0.2,0.1,0.1,0.1,.,0.3,0.3,0.1,0.2,.
GEO,49.4,1.4,0.5,0.2,0.0,0.0,0.0,0.0,.,.,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,0.0,0.0,0.0,.,.,.,.,0.0,0.6,0.6,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,46.2,7.3,0.2,0.1,0.0,0.1,0.0,0.6,0.3,0.4,0.2,0.2,0.1,0.0,0.2,1.0,0.1,0.0,0.1,0.5,0.2,0.1,0.1,0.3,0.0,0.1,0.1,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.2,2.1,0.1,1.1,0.1,0.0,0.0,0.1,0.1,0.1,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.8,1.7,0.0,0.0,0.0,.,.,0.0,.,30.7,0.5,2.4,16.3,10.4,4.4,5.9,0.3,0.9,2.0,1.6,0.1,0.2,1.7,0.2,1.1,0.4,0.3,0.2,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.8,0.8,0.0,0.2,0.6,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,1.8,1.4,0.5,0.0,0.2,0.2,0.1,0.1,0.0,0.3,0.4,0.3,0.2,.
DEU,875.4,39.9,14.1,0.4,0.0,0.0,0.0,0.0,.,.,0.0,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.2,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,0.0,.,.,.,.,.,.,6.6,23.5,23.4,0.1,0.0,0.0,1.1,0.7,0.2,0.1,0.2,1.0,0.2,0.0,.,0.7,0.1,800.8,233.3,6.1,2.8,0.2,3.1,6.0,11.0,29.0,8.0,1.0,2.8,3.5,0.6,17.2,46.9,4.2,3.3,0.8,19.8,1.9,2.6,5.7,15.1,0.2,6.3,6.4,6.6,4.1,1.7,0.8,1.6,12.1,0.4,7.1,4.6,8.7,11.4,7.6,24.1,9.2,0.0,0.0,2.8,6.4,7.1,.,.,.,.,0.2,5.2,1.6,0.9,0.0,0.1,.,0.6,.,0.1,.,.,.,.,.,.,62.5,41.0,10.1,2.9,1.4,.,.,7.1,.,329.6,2.9,20.2,184.5,57.0,34.3,22.7,8.8,56.1,54.3,43.1,1.2,10.1,40.0,2.4,14.8,2.1,4.6,7.5,0.6,0.1,0.4,3.8,0.8,2.2,1.8,13.6,26.7,21.2,0.0,8.9,12.3,.,0.1,5.5,.,0.0,1.5,2.9,0.5,.,.,.,2.4,1.8,0.0,0.0,0.5,0.6,0.1,0.6,.,0.1,34.8,23.3,3.4,0.2,12.3,0.4,0.4,0.3,.,6.3,11.4,10.8,0.6,.
GHA,231.0,105.7,51.9,9.8,0.4,0.4,0.0,0.0,.,.,0.0,10.1,6.6,1.3,0.8,0.0,0.1,0.4,6.1,0.4,0.9,0.1,0.5,0.0,0.2,14.6,13.4,.,.,0.8,0.0,.,.,0.2,0.0,0.0,.,0.1,0.1,0.0,0.0,.,.,.,0.0,1.6,24.7,24.7,0.0,0.0,2.8,22.2,8.2,7.8,4.9,1.4,4.1,3.6,0.0,.,0.4,0.1,101.6,11.7,0.4,0.3,0.0,0.1,0.1,0.5,0.5,2.1,1.1,0.2,0.7,0.2,0.2,0.3,0.1,0.1,0.1,1.1,1.6,0.1,0.3,0.7,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.8,0.1,0.7,0.1,0.2,1.9,0.4,5.7,5.4,0.0,4.3,0.5,0.7,1.1,.,.,.,.,0.0,0.4,0.7,0.7,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.6,1.7,0.1,0.6,0.0,.,.,0.2,.,45.1,0.6,2.6,18.6,19.7,9.6,10.1,1.9,1.6,5.0,2.6,1.7,0.8,12.6,1.0,7.8,3.3,0.8,2.8,1.0,0.2,0.2,1.5,0.2,0.3,0.4,1.0,4.7,3.2,0.0,0.3,2.8,.,0.0,1.3,.,0.2,1.1,0.3,0.0,.,.,.,0.3,5.8,0.8,0.0,0.4,2.0,0.4,2.1,.,0.1,23.7,19.1,7.1,0.4,2.6,1.5,1.5,1.2,0.2,4.5,4.6,1.9,2.7,.
GRC,120.7,4.0,0.6,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,.,0.0,.,.,.,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,0.0,0.0,3.2,3.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,113.4,29.8,0.3,0.2,0.1,0.1,0.2,1.3,2.6,1.5,0.5,0.4,0.5,0.1,1.7,6.3,0.5,0.2,0.3,2.3,0.2,0.3,0.6,2.0,0.0,0.6,1.2,1.2,0.3,0.3,0.1,0.1,0.9,0.2,0.3,0.4,1.6,3.7,0.0,1.3,0.6,0.0,0.0,0.2,0.4,0.3,.,.,.,.,0.0,0.0,0.3,0.3,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,10.9,9.8,0.5,0.1,0.1,.,.,0.4,.,57.2,0.2,2.0,30.4,19.1,10.2,8.9,1.9,3.5,6.6,6.2,0.1,0.3,3.2,0.5,1.3,0.4,0.3,0.5,0.1,0.0,0.0,0.5,0.0,0.2,0.3,0.4,3.1,2.9,0.0,1.0,1.9,.,0.0,0.2,.,0.0,0.1,0.1,0.0,.,.,.,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,3.3,2.6,0.9,0.0,0.5,0.1,0.4,0.1,.,0.6,0.7,0.5,0.2,.
GRD,0.9,0.1,0.0,0.0,0.0,0.0,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,0.0,.,.,.,0.0,0.0,.,.,.,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.
GTM,87.1,21.9,5.9,0.4,0.2,0.2,0.0,0.0,.,.,0.0,1.2,2.5,0.1,0.1,0.0,.,0.0,0.3,0.1,0.0,0.0,0.0,0.0,.,0.1,0.0,.,0.0,.,0.0,.,.,0.1,0.0,0.1,.,.,0.0,0.0,0.0,.,.,.,0.0,1.0,8.1,8.1,0.0,0.0,0.4,4.8,1.8,1.7,1.0,0.3,2.7,2.2,0.0,.,0.3,0.2,49.5,8.7,0.1,0.0,0.0,0.1,0.1,1.8,0.4,1.5,0.4,0.7,0.2,0.2,0.2,0.4,0.2,0.0,0.2,0.4,0.6,0.4,0.1,0.7,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.6,0.4,0.4,6.9,0.6,0.0,0.0,0.2,0.5,1.5,.,.,.,.,0.0,1.2,0.2,0.2,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.3,0.3,0.1,0.3,0.0,.,.,0.5,.,14.5,0.0,0.7,8.3,4.1,2.0,2.2,0.2,1.2,2.8,2.1,0.4,0.4,6.6,0.8,3.3,0.8,1.0,1.1,0.5,0.1,0.1,0.2,0.0,0.2,0.2,1.7,3.9,3.6,0.0,1.7,2.0,.,0.0,0.2,.,0.0,0.1,0.3,0.1,.,.,.,0.2,1.8,0.1,0.0,0.1,0.7,0.0,0.8,.,0.1,15.8,9.5,3.3,0.2,0.0,0.1,0.4,1.6,.,3.9,6.3,0.4,5.9,.
GIN,123.2,72.7,39.6,4.4,1.2,1.2,0.0,0.0,.,.,0.0,4.5,7.5,2.2,0.6,0.0,1.2,0.3,3.6,0.2,0.5,0.0,0.3,0.0,0.2,13.3,11.9,0.2,.,0.4,0.0,.,.,0.3,0.0,0.0,.,0.2,0.2,0.0,0.0,.,.,.,0.1,2.1,14.5,14.5,0.0,0.0,3.2,12.8,4.2,5.0,3.0,0.6,2.6,2.4,0.0,.,0.2,0.0,38.8,4.7,0.1,0.1,0.0,0.0,0.0,0.2,0.1,1.2,0.7,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.3,0.9,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.4,0.2,1.5,2.3,0.0,2.0,0.1,0.1,0.4,.,.,.,.,0.0,0.2,0.3,0.2,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.1,0.5,0.0,0.5,0.0,.,.,0.1,.,15.4,0.3,0.8,6.2,6.7,2.6,4.1,0.3,1.1,2.7,1.4,1.1,0.3,5.7,0.6,3.3,1.8,0.4,0.5,0.6,0.2,0.2,0.6,0.1,0.2,0.2,0.4,1.9,1.3,0.0,0.1,1.2,.,0.0,0.5,.,0.0,0.1,0.1,0.0,.,.,.,0.1,2.6,0.5,0.0,0.1,1.2,0.1,0.7,.,0.0,11.8,9.7,3.5,0.4,0.8,0.7,1.2,0.8,.,2.3,2.0,1.0,1.1,.
GNB,18.6,11.4,6.6,1.4,0.3,0.3,0.0,0.0,.,.,0.0,1.9,1.0,0.7,0.1,0.0,0.6,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.7,.,.,0.0,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,2.0,2.0,0.0,0.0,0.3,2.2,0.8,0.9,0.5,0.1,0.3,0.3,0.0,.,0.0,0.0,5.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.2,0.0,0.1,0.0,0.0,0.1,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.2,0.1,0.0,0.1,0.0,.,.,0.0,.,2.3,0.0,0.1,1.0,1.0,0.4,0.6,0.1,0.2,0.4,0.2,0.1,0.0,0.7,0.1,0.4,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.0,0.2,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.4,0.1,0.0,0.0,0.2,0.0,0.1,.,0.0,1.7,1.4,0.5,0.1,0.1,0.1,0.2,0.1,.,0.3,0.3,0.1,0.2,.
GUY,6.3,1.3,0.5,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.2,0.1,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,.,.,.,.,0.0,0.0,0.0,.,0.0,.,0.0,0.0,.,.,.,0.0,0.1,0.3,0.3,0.0,0.0,0.0,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,.,0.1,0.0,4.3,0.5,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.0,0.0,0.0,0.0,.,.,0.0,.,2.2,0.0,0.2,1.1,0.7,0.3,0.4,0.1,0.1,0.2,0.1,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.8,0.4,0.1,0.0,0.0,0.0,0.1,0.0,.,0.1,0.4,0.2,0.1,.
HTI,91.0,28.2,11.5,2.0,0.4,0.4,0.0,0.0,.,.,0.0,3.6,2.9,0.5,0.4,0.0,0.0,0.1,1.0,0.2,0.1,0.0,0.1,0.0,.,0.4,0.2,.,.,.,0.0,.,.,0.1,0.0,0.0,.,.,0.1,0.0,0.0,.,.,.,0.0,0.3,8.1,8.0,0.0,0.0,1.1,6.2,2.4,2.0,1.2,0.6,1.4,1.3,0.0,.,0.0,0.1,51.2,6.6,0.1,0.0,.,0.0,0.1,0.5,0.4,0.5,0.2,0.1,0.1,0.0,0.2,0.5,0.1,0.0,0.1,0.5,0.6,0.1,0.1,1.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,.,0.1,0.0,0.1,0.0,0.2,1.2,0.2,3.3,0.9,0.1,0.0,0.4,0.4,0.4,.,.,.,.,0.0,0.4,0.1,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.0,1.4,0.1,0.5,0.0,.,.,0.1,.,25.0,0.6,2.1,10.6,9.3,4.3,5.0,0.9,1.4,3.1,1.7,1.1,0.3,4.4,0.7,2.0,0.6,0.3,0.8,0.3,0.2,0.1,0.4,0.1,0.2,0.1,0.5,2.6,2.2,0.0,0.7,1.5,.,0.0,0.3,.,0.0,0.1,0.1,0.0,.,.,.,0.1,2.5,0.3,0.0,0.1,1.4,0.0,0.6,.,0.0,11.6,7.4,1.6,0.3,0.4,0.6,1.9,0.9,.,1.6,4.2,1.2,3.0,.
HND,36.1,5.3,2.3,0.1,0.0,0.0,0.0,0.0,.,.,0.0,1.1,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,.,0.0,.,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.1,1.0,1.0,0.0,0.0,0.2,1.4,0.7,0.3,0.3,0.2,0.3,0.3,0.0,.,0.0,0.0,21.5,5.3,0.1,0.0,0.0,0.0,0.1,0.8,0.3,0.6,0.1,0.3,0.1,0.1,0.2,0.3,0.1,0.0,0.1,0.3,0.4,0.1,0.1,0.4,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.3,0.8,0.0,0.8,0.2,0.0,0.0,0.0,0.2,0.2,.,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.1,0.8,0.0,0.1,0.0,.,.,0.1,.,9.3,0.0,0.6,5.5,2.7,1.4,1.3,0.2,0.2,1.4,1.1,0.2,0.1,1.7,0.2,0.8,0.2,0.3,0.3,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.3,0.7,0.5,0.0,0.3,0.3,.,0.0,0.2,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.3,.,0.0,9.2,2.0,1.3,0.0,0.1,0.0,0.1,0.1,.,0.3,7.2,0.3,6.9,.
HUN,124.1,2.3,0.8,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.4,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,0.1,1.1,1.1,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,.,0.1,0.0,116.1,32.6,1.5,0.7,0.0,0.7,0.6,1.7,5.3,0.8,0.1,0.2,0.4,0.0,2.0,8.7,0.6,0.4,0.2,2.2,0.6,0.3,0.7,1.2,0.0,0.8,1.0,0.7,0.7,0.5,0.1,0.0,0.9,0.0,0.6,0.3,0.9,0.8,0.5,2.7,0.4,0.0,0.0,0.1,0.4,0.7,.,.,.,.,0.1,0.5,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,4.4,3.4,0.4,0.1,0.1,.,.,0.4,.,60.0,0.3,3.5,38.1,12.3,9.1,3.2,1.5,4.3,6.3,5.5,0.1,0.7,6.2,0.7,3.1,0.6,0.9,1.2,0.4,0.0,0.0,0.2,0.1,0.4,0.3,1.3,1.5,1.2,0.0,0.1,1.1,.,0.0,0.2,.,0.0,0.1,0.3,0.1,.,.,.,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,5.6,3.4,0.7,0.0,1.8,0.1,0.1,0.1,.,0.5,2.2,2.1,0.1,.
ISL,2.1,0.1,0.0,0.0,0.0,0.0,.,.,.,.,.,.,0.0,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,0.0,0.1,0.1,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,1.8,0.6,0.0,0.0,.,.,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,.,0.1,0.0,0.0,0.0,0.1,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.3,0.2,0.0,0.0,0.0,.,.,0.0,.,0.7,0.0,0.0,0.4,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.
